Company Name,Industry,Symbol,Series,ISIN Code
Aarti Industries Ltd.,Chemicals,AARTIIND,EQ,INE769A01020
Aditya Birla Real Estate Ltd.,Forest Materials,ABREL,EQ,INE055A01016
Aegis Logistics Ltd.,Oil Gas & Consumable Fuels,AEGISLOG,EQ,INE208C01025
Affle 3i Ltd.,Information Technology,AFFLE,EQ,INE00WC01027
Amara Raja Energy & Mobility Ltd.,Automobile and Auto Components,ARE&M,EQ,INE885A01032
Amber Enterprises India Ltd.,Consumer Durables,AMBER,EQ,INE371P01015
Angel One Ltd.,Financial Services,ANGELONE,EQ,INE732I01013
Aster DM Healthcare Ltd.,Healthcare,ASTERDM,EQ,INE914M01019
Birlasoft Ltd.,Information Technology,BSOFT,EQ,INE836A01035
Brigade Enterprises Ltd.,Realty,BRIGADE,EQ,INE791I01019
CESC Ltd.,Power,CESC,EQ,INE486A01021
Castrol India Ltd.,Oil Gas & Consumable Fuels,CASTROLIND,EQ,INE172A01027
Central Depository Services (India) Ltd.,Financial Services,CDSL,EQ,INE736A01011
Computer Age Management Services Ltd.,Financial Services,CAMS,EQ,INE596I01012
Crompton Greaves Consumer Electricals Ltd.,Consumer Durables,CROMPTON,EQ,INE299U01018
Cyient Ltd.,Information Technology,CYIENT,EQ,INE136B01020
Delhivery Ltd.,Services,DELHIVERY,EQ,INE148O01028
Dr. Lal Path Labs Ltd.,Healthcare,LALPATHLAB,EQ,INE600L01024
Firstsource Solutions Ltd.,Services,FSL,EQ,INE684F01012
Five-Star Business Finance Ltd.,Financial Services,FIVESTAR,EQ,INE128S01021
Great Eastern Shipping Co. Ltd.,Services,GESHIP,EQ,INE017A01032
Gujarat State Petronet Ltd.,Oil Gas & Consumable Fuels,GSPL,EQ,INE246F01010
HFCL Ltd.,Telecommunication,HFCL,EQ,INE548A01028
Himadri Speciality Chemical Ltd.,Chemicals,HSCL,EQ,INE019C01026
Hindustan Copper Ltd.,Metals & Mining,HINDCOPPER,EQ,INE531E01026
IIFL Finance Ltd.,Financial Services,IIFL,EQ,INE530B01024
Indian Energy Exchange Ltd.,Financial Services,IEX,EQ,INE022Q01020
Inox Wind Ltd.,Capital Goods,INOXWIND,EQ,INE066P01011
Kaynes Technology India Ltd.,Capital Goods,KAYNES,EQ,INE918Z01012
Kec International Ltd.,Construction,KEC,EQ,INE389H01022
Kfin Technologies Ltd.,Financial Services,KFINTECH,EQ,INE138Y01010
Laurus Labs Ltd.,Healthcare,LAURUSLABS,EQ,INE947Q01028
Multi Commodity Exchange of India Ltd.,Financial Services,MCX,EQ,INE745G01035
NATCO Pharma Ltd.,Healthcare,NATCOPHARM,EQ,INE987B01026
NBCC (India) Ltd.,Construction,NBCC,EQ,INE095N01031
NCC Ltd.,Construction,NCC,EQ,INE868B01028
Navin Fluorine International Ltd.,Chemicals,NAVINFLUOR,EQ,INE048G01026
Neuland Laboratories Ltd.,Healthcare,NEULANDLAB,EQ,INE794A01010
PNB Housing Finance Ltd.,Financial Services,PNBHOUSING,EQ,INE572E01012
Piramal Enterprises Ltd.,Financial Services,PEL,EQ,INE140A01024
Piramal Pharma Ltd.,Healthcare,PPLPHARMA,EQ,INE0DK501011
Poonawalla Fincorp Ltd.,Financial Services,POONAWALLA,EQ,INE511C01022
Radico Khaitan Ltd,Fast Moving Consumer Goods,RADICO,EQ,INE944F01028
Ramkrishna Forgings Ltd.,Automobile and Auto Components,RKFORGE,EQ,INE399G01023
Reliance Power Ltd.,Power,RPOWER,BE,INE614G01033
Sonata Software Ltd.,Information Technology,SONATSOFTW,EQ,INE269A01021
Tata Chemicals Ltd.,Chemicals,TATACHEM,EQ,INE092A01019
Tejas Networks Ltd.,Telecommunication,TEJASNET,EQ,INE010J01012
The Ramco Cements Ltd.,Construction Materials,RAMCOCEM,EQ,INE331A01037
Zensar Technolgies Ltd.,Information Technology,ZENSARTECH,EQ,INE520A01027
